PO Number	UPC	Model	ASIN	Description	Sugested Retail	Discount	Cost	Qty Ordered	Qty Confirmed	Delivery beguin date	End Delivery date	Type	Max Delivery Date	Availability/Comment	Error del intento anterior de carga	Vendor Code	DC Delivery	Identificador de consolidación	Condition	PO Date	Freight Term	Payment Method	Special Instructions	Comments	Legal entity identifier	Currency code	External identifier type	Quantity of products per package	Added quantity	Seller Customer ID	Seller SKU List
16TWUSTR	041969555897	330350.0090.03.S	B00W7EB28G	Mizuno 330350.0090.03.S Men's 2016 Pro Batting Gloves (Pair), White/Black, Small	MXN 1,069.00	0%	MXN 1,069.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969556269	330354.9000.02.XS	B00W7ECA6E	Mizuno 330354.9000.02.XS Women's 2016 Finch Batting Gloves (Pair), Black/White, X-Small	MXN 435.00	0%	MXN 435.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969557754	312268.RG10.11.1150	B00Y7XBQTA	Mizuno 312268.RG10.11.1150 Franchise Ball Glove, Red, 11.5"	MXN 1,615.00	0%	MXN 1,615.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969558324	312290.FR11.17.1300	B00Y7XBZGO	Mizuno 312290.FR11.17.1300 MVP Fastpitch Glove, Brick Dust, 13", Right	MXN 2,279.00	0%	MXN 2,279.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969543078	350506.5151.04.S	B014QOLDTM	Mizuno 350506.5151.04 Comp Game Shorts, Navy, Small	MXN 809.48	20%	MXN 649.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	715757495305	4A38-35-XL	B014TI8SZW	Orvis Accesorio de Pesca Shirt Performance, Color Gris, Extra Grande	MXN 2,564.28	39%	MXN 1,555.70	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	R2 - Cancelled: Invalid product information		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	810675021480	SBLT5TVM	B015JREPKE	Selk'bag SBLT5 Full Body Sleeping Bag, Lite 5G, Twilight Violet, Medium	MXN 2,369.83	30%	MXN 1,659.00	1	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969552537	350541.9090.04.S	B015JUOUDS	Mizuno 350541.9090.04 Digi-Camo Sliding Shorts, Black, Small	MXN 964.66	19%	MXN 779.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969552490	350541.0000.05.M	B015JUOVOQ	Mizuno 350541.0000.05 Digi-Camo Sliding Shorts, White, Medium	MXN 964.66	19%	MXN 779.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
16TWUSTR	041969554838	350543.0000.04.S	B015OGG4FO	Mizuno 350543.0000.04 Pro Sliding Shorts, White, Small	MXN 1,128.45	19%	MXN 909.00	4	0	08-Jan-2024	22-Jan-2024	Delivered	08-Jan-2024	CP - Discontinued: Obsolete		CP5UY	MEX2		Confirmed	08-Jan-2024	Prepaid	Bill			133	MXN	6	1	1		0%
