KeyMonth	calendar_date	Country	Key	Local	ownerships	GCS NGK	GCS Counter 	GAP Capacity 20	GAP Capacity 30	Installed Capacity 20	Installed Capacity 30	Category	Classification Number	Screen Cases	Classification	Screens	Counter Participation	NGK Participation	Annual Ranking	Performance	Total GCS	Type of Store	Special Day Hour Order	Daypart Hour Description	Ownerships Order	RankingMonth	Year	Quarter	Month	Day
ECUADOR-PRT-01/08/2023	1/8/2023 0:00	ECUADOR	ECUADOR-PRT	PRT	A	48	6	8	-12	40	60	Between 20 and 30 GCs	1	with GCs and Screens	Locales Alta Performance	2	11,11 %	88,89 %	370	24,00	54	FC	7	14:00 15:00	1	50	2023	Qtr 3	August	1
PERU-PLN-01/08/2023	1/8/2023 0:00	PERU	PERU-PLN	PLN	A	47	16	7	-13	40	60	Between 20 and 30 GCs	1	with GCs and Screens	Locales Alta Performance	2	25,40 %	74,60 %	310	23,50	63	FC	11	18:00 19:00	1	50	2023	Qtr 3	August	1
PERU-SJL-01/08/2023	1/8/2023 0:00	PERU	PERU-SJL	SJL	A	44	19	-36	-76	80	120	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	4	30,16 %	69,84 %	331	11,00	63	IS	13	20:00 21:00	1	50	2023	Qtr 3	August	1
COLOMBIA-ATL-01/08/2023	2/8/2023 0:00	COLOMBIA	COLOMBIA-ATL	ATL	A	27	0	-53	-93	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	0,00 %	100,00 %	434	6,75	27	FS	14	21:00 22:00	1	50	2023	Qtr 3	August	1
ECUADOR-GYA-01/08/2023	2/8/2023 0:00	ECUADOR	ECUADOR-GYA	GYA	A	32	3	-28	-58	60	90	Between 10 and 15 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	3	8,57 %	91,43 %	236	10,67	35	MS	15	22:00 23:00	1	50	2023	Qtr 3	August	1
PERU-AEP-01/08/2023	2/8/2023 0:00	PERU	PERU-AEP	AEP	A	13	34	-27	-47	40	60	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	2	72,34 %	27,66 %	335	6,50	47	FC	15	22:00 23:00	1	50	2023	Qtr 3	August	1
PERU-PAC-01/08/2023	2/8/2023 0:00	PERU	PERU-PAC	PAC	A	50	30	-30	-70	80	120	Between 10 and 15 GCs	4	with GCs and Screens	Locations with Oportunity	4	37,50 %	62,50 %	481	12,50	80	IS	11	18:00 19:00	1	50	2023	Qtr 3	August	1
URUGUAY-ITL-01/08/2023	2/8/2023 0:00	URUGUAY	URUGUAY-ITL	ITL	A	24	0	-56	-96	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	0,00 %	100,00 %	1669	6,00	24	FS	13	12:00 13:00	1	50	2023	Qtr 3	August	1
ECUADOR-6DI-01/08/2023	3/8/2023 0:00	ECUADOR	ECUADOR-6DI	6DI	A	34	8	-46	-86	80	120	Between 5 and 10 GCs	3	with GCs and Screens	Locations 100% NGK Candidate	4	19,05 %	80,95 %	568	8,50	42	FS	7	14:00 15:00	1	50	2023	Qtr 3	August	1
PERU-AEP-01/08/2023	3/8/2023 0:00	PERU	PERU-AEP	AEP	A	17	42	-23	-43	40	60	Between 5 and 10 GCs	4	with GCs and Screens	Locations with Oportunity	2	71,19 %	28,81 %	50	8,50	59	FC	7	14:00 15:00	1	12	2023	Qtr 3	August	1
