Lifecycle Status,Manufacturer,Part Number,Series,Description,Replacement Part Number,Item #,Bin Location,Installed Quantity,Recommended Spares,Storeroom Quantity,PMA Quantity,P2 Quantity,Stash Quantity,Insufficient Spares,Excess Spares,List Price,Installed Total,Recommended Total,Storeroom Total,PMA Total,P2 Total,Stash Total,Insufficient Total,Excess Total
ACTIVE,ROCKWELL,20G11ND8P0AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,2,1,1,0,0,0,0,0," $	3,492 "," $	6,984 "," $	3,492 "," $	3,492 ", $	-   , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,20G11RD2P1AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,69007045,NR1S8C2,12,1,2,1,0,0,0,2," $	1,810 "," $	21,722 "," $	1,810 "," $	3,620 "," $	1,810 ", $	-   , $	-   , $	-   ," $	3,620 "
ACTIVE,ROCKWELL,20G1AND156AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	20,333 "," $	20,333 "," $	20,333 ", $	-   , $	-   , $	-   , $	-   ," $	20,333 ", $	-   
ACTIVE,ROCKWELL,20G1AND156AN0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,1,1,0,0,0,0,1,0," $	19,363 "," $	19,363 "," $	19,363 ", $	-   , $	-   , $	-   , $	-   ," $	19,363 ", $	-   
ACTIVE,ROCKWELL,20G1AND248AA0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	29,403 "," $	58,806 "," $	29,403 ", $	-   , $	-   , $	-   , $	-   ," $	29,403 ", $	-   
ACTIVE,ROCKWELL,20G1AND415AN0NNNNN,,POWERFLEX AIR COOLED 755 AC DRIVE,NOT AVAILABLE,,,2,1,1,0,0,0,0,0," $	50,741 "," $	101,482 "," $	50,741 "," $	50,741 ", $	-   , $	-   , $	-   , $	-   , $	-   
END OF LIFE,ROCKWELL,20-HIM-A3,,"POWERFLEX ARCHITECTURE CLASS HIM, KEYPAD",NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	349 , $	697 , $	349 , $	-   , $	-   , $	-   , $	-   , $	349 , $	-   
ACTIVE,ROCKWELL,20-HIM-A6,,POWERFLEX ARCHITECTURE CLASS HIM,NOT AVAILABLE,,,51,2,1,1,0,0,0,0, $	291 ," $	14,848 ", $	582 , $	291 , $	291 , $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,2198-DB08-F,,KINETIX 5500 8A LINE FILTER,NOT AVAILABLE,,,2,1,0,0,0,0,1,0, $	273 , $	546 , $	273 , $	-   , $	-   , $	-   , $	-   , $	273 , $	-   
ACTIVE,ROCKWELL,2198-DB80-F,,KINETIX 5700 80A LINE FILTER,NOT AVAILABLE,,,0,0,0,1,0,0,0,1," $	1,046 ", $	-   , $	-   , $	-   ," $	1,046 ", $	-   , $	-   , $	-   ," $	1,046 "
ACTIVE,ROCKWELL,2198-H003-ERS,,KINETIX 5500 2.5 AMP SERVO DRIVE,NOT AVAILABLE,,,1,1,0,1,0,0,0,0," $	1,885 "," $	1,885 "," $	1,885 ", $	-   ," $	1,885 ", $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,2198-H008-ERS,,KINETIX 5500 6.3 AMP SERVO DRIVE,NOT AVAILABLE,,,22,2,1,1,0,0,0,0," $	2,084 "," $	45,857 "," $	4,169 "," $	2,084 "," $	2,084 ", $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,2198-H025-ERS,,KINETIX 5500 20 AMP SERVO DRIVE,NOT AVAILABLE,,,1,1,1,1,0,0,0,1," $	2,471 "," $	2,471 "," $	2,471 "," $	2,471 "," $	2,471 ", $	-   , $	-   , $	-   ," $	2,471 "
ACTIVE,ROCKWELL,2198-H040-ERS,,KINETIX 5500 SERVO DRIVE,NOT AVAILABLE,,,1,1,0,1,0,0,0,0," $	2,746 "," $	2,746 "," $	2,746 ", $	-   ," $	2,746 ", $	-   , $	-   , $	-   , $	-   
ACTIVE,ROCKWELL,2198-H070-ERS,,KINETIX 5500 SERVO DRIVE,NOT AVAILABLE,69007983,PR2S3D3,0,0,1,1,0,0,0,2," $	3,183 ", $	-   , $	-   ," $	3,183 "," $	3,183 ", $	-   , $	-   , $	-   ," $	6,366 "
ACTIVE,ROCKWELL,2198-K57CK-D15M,,KINETIX 5700  FEEDBACK CONNECTOR KIT,NOT AVAILABLE,,,0,0,0,1,0,0,0,1, $	122 , $	-   , $	-   , $	-   , $	122 , $	-   , $	-   , $	-   , $	122 
ACTIVE,ROCKWELL,2198-P141,,KINETIX 5700 DC BUS SUPPLY,NOT AVAILABLE,,,3,1,0,0,0,0,1,0," $	3,211 "," $	9,633 "," $	3,211 ", $	-   , $	-   , $	-   , $	-   ," $	3,211 ", $	-   
ACTIVE,ROCKWELL,2198-S130-ERS3,,KINETIX 5700 SINGLE AXIS INVERTER,NOT AVAILABLE,,,6,1,0,0,0,0,1,0," $	5,663 "," $	33,978 "," $	5,663 ", $	-   , $	-   , $	-   , $	-   ," $	5,663 ", $	-   
ACTIVE,ROCKWELL,21G1ABD740AN0NNNNN-HD-L1-P5,,POWERFLEX AIR COOLED 755 PACKAGED DRIVE,NOT AVAILABLE,,,0,0,1,0,0,0,0,1," $	137,242 ", $	-   , $	-   ," $	137,242 ", $	-   , $	-   , $	-   , $	-   ," $	137,242 "
END OF LIFE,ROCKWELL,22B-D2P3N104,,POWERFLEX 40- 0.75 KW (1 HP) AC DRIVE,POWERFLEX 525,,,6,1,0,0,0,0,1,0," $	1,510 "," $	9,059 "," $	1,510 ", $	-   , $	-   , $	-   , $	-   ," $	1,510 ", $	-   
END OF LIFE,ROCKWELL,22B-D6P0N104,,POWERFLEX 40- 2.2 KW (3 HP) AC DRIVE,POWERFLEX 525,,,1,1,0,0,0,0,1,0," $	2,073 "," $	2,073 "," $	2,073 ", $	-   , $	-   , $	-   , $	-   ," $	2,073 ", $	-   
ACTIVE,ROCKWELL,22C-D030N103,,POWERFLEX 400- 15 KW (20 HP) AC DRIVE,NOT AVAILABLE,,,8,1,0,0,0,0,1,0," $	3,810 "," $	30,480 "," $	3,810 ", $	-   , $	-   , $	-   , $	-   ," $	3,810 ", $	-   
END OF LIFE,ROCKWELL,22D-D2P3N104,,POWERFLEX 40P- 0.75 KW (1 HP) AC DRIVE,POWERFLEX 525,,,2,1,0,0,0,0,1,0," $	2,022 "," $	4,044 "," $	2,022 ", $	-   , $	-   , $	-   , $	-   ," $	2,022 ", $	-   
ACTIVE,ROCKWELL,22F-D018N104,,POWERFLEX 4M- 7.5 KW (10 HP) AC DRIVE,NOT AVAILABLE,,,2,1,0,0,0,0,1,0," $	1,669 "," $	3,339 "," $	1,669 ", $	-   , $	-   , $	-   , $	-   ," $	1,669 ", $	-   
